residency_group,term,year,metric,count,percentage
California resident,Fall,2020,admitted,66399.0,0.66
Domestic nonresident,Fall,2020,admitted,14389.0,0.14
International nonresident,Fall,2020,admitted,19247.0,0.19
California resident,Winter,2020,admitted,21898.0,0.6
Domestic nonresident,Winter,2020,admitted,8356.0,0.23
International nonresident,Winter,2020,admitted,6379.0,0.17
California resident,Spring,2020,admitted,4753.0,0.74
Domestic nonresident,Spring,2020,admitted,586.0,0.09
International nonresident,Spring,2020,admitted,1110.0,0.17
California resident,Fall,2021,admitted,76398.0,0.65
Domestic nonresident,Fall,2021,admitted,20852.0,0.18
International nonresident,Fall,2021,admitted,21133.0,0.18
California resident,Winter,2021,admitted,21700.0,0.54
Domestic nonresident,Winter,2021,admitted,12300.0,0.3
International nonresident,Winter,2021,admitted,6496.0,0.16
California resident,Spring,2021,admitted,5199.0,0.69
Domestic nonresident,Spring,2021,admitted,1235.0,0.16
International nonresident,Spring,2021,admitted,1109.0,0.15
California resident,Fall,2022,admitted,84344.0,0.64
Domestic nonresident,Fall,2022,admitted,23826.0,0.18
International nonresident,Fall,2022,admitted,23059.0,0.18
California resident,Winter,2022,admitted,20117.0,0.65
Domestic nonresident,Winter,2022,admitted,7466.0,0.24
International nonresident,Winter,2022,admitted,3519.0,0.11
California resident,Spring,2022,admitted,5281.0,0.81
Domestic nonresident,Spring,2022,admitted,664.0,0.1
International nonresident,Spring,2022,admitted,602.0,0.09
California resident,Fall,2023,admitted,84930.0,0.65
Domestic nonresident,Fall,2023,admitted,23996.0,0.18
International nonresident,Fall,2023,admitted,21909.0,0.17
California resident,Winter,2023,admitted,20685.0,0.65
Domestic nonresident,Winter,2023,admitted,7583.0,0.24
International nonresident,Winter,2023,admitted,3793.0,0.12
California resident,Spring,2023,admitted,5499.0,0.79
Domestic nonresident,Spring,2023,admitted,827.0,0.12
International nonresident,Spring,2023,admitted,679.0,0.1
California resident,Fall,2024,admitted,88415.0,0.0665
Domestic nonresident,Fall,2024,admitted,24235.0,0.18
International nonresident,Fall,2024,admitted,21800.0,0.16
California resident,Winter,2024,admitted,22948.0,0.64
Domestic nonresident,Winter,2024,admitted,8106.0,0.23
International nonresident,Winter,2024,admitted,4862.0,0.14
California resident,Spring,2024,admitted,5642.0,0.77
Domestic nonresident,Spring,2024,admitted,869.0,0.12
International nonresident,Spring,2024,admitted,820.0,0.11
California resident,Fall,2025,admitted,87574.0,0.64
Domestic nonresident,Fall,2025,admitted,24929.0,0.18
International nonresident,Fall,2025,admitted,24224.0,0.18
California resident,Winter,2025,admitted,21542.0,0.56
Domestic nonresident,Winter,2025,admitted,9771.0,0.25
International nonresident,Winter,2025,admitted,7144.0,0.19
California resident,Spring,2025,admitted,5418.0,0.69
Domestic nonresident,Spring,2025,admitted,948.0,0.12
International nonresident,Spring,2025,admitted,1435.0,0.18
